entry_no,posting_date,fiscal_year,document_type,document_no,line_no,customer_no,salesperson_code,item_no,item_description,item_category_code,location_code,quantity,unit_price,sales_amount,cost_amount,gross_profit,gross_profit_margin_pct
1,2022-07-04,F 2022,Sales Invoice,SI103201,10000,C0031,AO,1900-S,CAIRO Writing Desk,BENCH,,8,118833.21,950665.68,545777.6,404888.08,42.59
2,2022-07-04,F 2022,Sales Invoice,SI103201,20000,C0031,AO,1896-S,ADDIS ABABA Executive Desk,BENCH,,7,175922.06,1231454.42,836479.21,394975.21,32.07
3,2022-08-31,F 2022,Sales Invoice,SI103202,10000,C0001,CM,2004-S,"LAGOS Executive Chair, grey",CHAIR,,2,38802.76,77605.52,50035.58,27569.94,35.53
4,2022-08-31,F 2022,Sales Invoice,SI103202,20000,C0001,CM,1896-S,ADDIS ABABA Executive Desk,BENCH,,5,214006.4,1070032.0,576553.8,493478.2,46.12
5,2022-07-09,F 2022,Sales Invoice,SI103203,10000,C0012,AO,1960-S,"NAIROBI Guest Chair, green",CHAIR,,2,22257.77,44515.54,26969.4,17546.14,39.42
6,2022-07-09,F 2022,Sales Invoice,SI103203,20000,C0012,AO,1900-S,CAIRO Writing Desk,BENCH,,4,103280.86,413123.44,308395.88,104727.56,25.35
7,2021-10-02,F 2022,Sales Invoice,SI103204,10000,C0003,JK,1896-S,ADDIS ABABA Executive Desk,BENCH,NBI,7,160587.53,1124112.71,831238.03,292874.68,26.05
8,2021-10-02,F 2022,Sales Invoice,SI103204,20000,C0003,JK,1928-S,DAKAR Meeting Table,TABLE,NAK,8,152218.05,1217744.4,784369.92,433374.48,35.59
9,2021-10-02,F 2022,Sales Invoice,SI103204,30000,C0003,JK,1916-S,JOHANNESBURG Sit-Stand Desk,BENCH,,9,145793.77,1312143.93,1002016.71,310127.22,23.64
10,2021-10-02,F 2022,Sales Invoice,SI103204,40000,C0003,JK,1900-S,CAIRO Writing Desk,BENCH,,9,125116.55,1126048.95,610920.9,515128.05,45.75
11,2022-01-04,F 2022,Sales Invoice,SI103205,10000,C0001,AO,1896-S,ADDIS ABABA Executive Desk,BENCH,,10,208677.11,2086771.1,1340868.4,745902.7,35.74
12,2022-01-04,F 2022,Sales Invoice,SI103205,20000,C0001,AO,1896-S,ADDIS ABABA Executive Desk,BENCH,,10,179946.86,1799468.6,1174163.3,625305.3,34.75
13,2022-01-04,F 2022,Sales Invoice,SI103205,30000,C0001,AO,1928-S,DAKAR Meeting Table,TABLE,KSM,6,166720.88,1000325.28,559175.52,441149.76,44.1
14,2022-01-04,F 2022,Sales Invoice,SI103205,40000,C0001,AO,2000-S,"KIGALI Ergonomic Chair, black",CHAIR,,6,34783.94,208703.64,149029.98,59673.66,28.59
15,2022-08-15,F 2022,Sales Invoice,SI103206,10000,C0035,NW,1988-S,"KAMPALA Guest Chair, red",CHAIR,,5,28015.89,140079.45,86091.1,53988.35,38.54
16,2022-02-03,F 2022,Sales Invoice,SI103207,10000,C0002,AO,1936-S,ACCRA Round Table,TABLE,,10,110518.88,1105188.8,712216.5,392972.3,35.56
17,2022-02-03,F 2022,Sales Invoice,SI103207,20000,C0002,AO,1928-S,DAKAR Meeting Table,TABLE,MBA,9,146854.6,1321691.4,972127.17,349564.23,26.45
18,2022-02-03,F 2022,Sales Invoice,SI103207,30000,C0002,AO,1972-S,"MOMBASA Swivel Chair, yellow",CHAIR,,2,26322.74,52645.48,37462.12,15183.36,28.84
19,2022-02-03,F 2022,Sales Invoice,SI103207,40000,C0002,AO,2000-S,"KIGALI Ergonomic Chair, black",CHAIR,,4,44386.29,177545.16,113128.92,64416.24,36.28
20,2022-02-13,F 2022,Sales Invoice,SI103208,10000,C0002,AO,1960-S,"NAIROBI Guest Chair, green",CHAIR,,11,25523.17,280754.87,170303.98,110450.89,39.34
21,2022-02-13,F 2022,Sales Invoice,SI103208,20000,C0002,AO,1952-S,"ABUJA Whiteboard, base",MISC,,11,57372.96,631102.56,357735.62,273366.94,43.32
22,2022-02-13,F 2022,Sales Invoice,SI103208,30000,C0002,AO,1936-S,ACCRA Round Table,TABLE,MBA,9,91595.44,824358.96,576792.81,247566.15,30.03
23,2022-02-13,F 2022,Sales Invoice,SI103208,40000,C0002,AO,1968-S,OSLO Filing Cabinet,MISC,,9,31547.93,283931.37,206359.29,77572.08,27.32
24,2022-02-13,F 2022,Sales Invoice,SI103208,50000,C0002,AO,1896-S,ADDIS ABABA Executive Desk,BENCH,NBI,1,165182.8,165182.8,121179.35,44003.45,26.64
25,2021-10-21,F 2022,Sales Invoice,SI103209,10000,C0002,CM,1972-S,"MOMBASA Swivel Chair, yellow",CHAIR,,9,28613.95,257525.55,161098.65,96426.9,37.44
26,2021-12-19,F 2022,Sales Invoice,SI103210,10000,C0003,CM,1952-S,"ABUJA Whiteboard, base",MISC,KSM,3,51524.47,154573.41,101865.84,52707.57,34.1
27,2022-03-20,F 2022,Sales Invoice,SI103211,10000,C0005,CM,1944-S,HARARE Folding Table,TABLE,,4,40807.47,163229.88,130366.04,32863.84,20.13
28,2022-03-20,F 2022,Sales Invoice,SI103211,20000,C0005,CM,1964-S,Guest Section 1,MISC,,8,147875.38,1183003.04,779905.52,403097.52,34.07
29,2022-03-20,F 2022,Sales Invoice,SI103211,30000,C0005,CM,2004-S,"LAGOS Executive Chair, grey",CHAIR,,4,32179.89,128719.56,101279.08,27440.48,21.32
30,2022-02-20,F 2022,Sales Invoice,SI103212,10000,C0033,CM,1920-S,LUANDA Conference Table,TABLE,,7,214229.71,1499607.97,1101192.61,398415.36,26.57
31,2021-10-15,F 2022,Sales Invoice,SI103213,10000,C0034,AO,1984-S,MADRID Monitor Stand,MISC,,5,14118.51,70592.55,42377.6,28214.95,39.97
32,2022-03-10,F 2022,Sales Invoice,SI103214,10000,C0034,AO,1968-S,OSLO Filing Cabinet,MISC,,4,37216.56,148866.24,102342.12,46524.12,31.25
33,2022-07-03,F 2022,Sales Invoice,SI103215,10000,C0032,BM,1988-S,"KAMPALA Guest Chair, red",CHAIR,,7,27977.9,195845.3,125389.81,70455.49,35.98
34,2022-07-03,F 2022,Sales Invoice,SI103215,20000,C0032,BM,2004-S,"LAGOS Executive Chair, grey",CHAIR,,2,32858.3,65716.6,42609.8,23106.8,35.16
35,2022-07-03,F 2022,Sales Invoice,SI103215,30000,C0032,BM,1896-S,ADDIS ABABA Executive Desk,BENCH,,7,178416.61,1248916.27,846055.0,402861.27,32.26
36,2022-09-06,F 2022,Sales Invoice,SI103216,10000,C0015,CM,1920-S,LUANDA Conference Table,TABLE,,5,217950.97,1089754.85,896101.65,193653.2,17.77
