quote_no,quote_date,fiscal_year,customer_no,salesperson_code,line_no,item_no,item_description,item_category_code,quantity,unit_price,sales_amount,cost_amount,gross_profit,gross_profit_margin_pct,status
QT00001,2022-05-17,F 2022,C0001,OF,10000,1908-S,DUBAI Corner Desk,BENCH,18,143257.06,2578627.08,1732554.4,846072.68,32.81,Open
QT00001,2022-05-17,F 2022,C0001,OF,20000,1944-S,HARARE Folding Table,TABLE,12,46228.04,554736.48,327996.37,226740.11,40.87,Open
QT00002,2023-12-13,F 2023,C0017,JO,10000,1960-S,"NAIROBI Guest Chair, green",CHAIR,3,24201.77,72605.31,45229.44,27375.87,37.71,Open
QT00002,2023-12-13,F 2023,C0017,JO,20000,1896-S,ADDIS ABABA Executive Desk,BENCH,8,200593.57,1604748.56,1028576.23,576172.33,35.9,Converted
QT00002,2023-12-13,F 2023,C0017,JO,30000,2004-S,"LAGOS Executive Chair, grey",CHAIR,2,31279.39,62558.78,52150.44,10408.34,16.64,Open
QT00003,2021-09-06,F 2021,C0033,HR,10000,1988-S,"KAMPALA Guest Chair, red",CHAIR,13,26424.5,343518.5,222518.48,121000.02,35.22,Converted
QT00003,2021-09-06,F 2021,C0033,HR,20000,1960-S,"NAIROBI Guest Chair, green",CHAIR,19,20328.99,386250.81,286886.75,99364.06,25.73,Open
QT00003,2021-09-06,F 2021,C0033,HR,30000,1964-S,Guest Section 1,MISC,12,124051.63,1488619.56,1144691.72,343927.84,23.1,Converted
QT00003,2021-09-06,F 2021,C0033,HR,40000,1920-S,LUANDA Conference Table,TABLE,16,250728.4,4011654.4,2494790.05,1516864.35,37.81,Open
QT00004,2023-05-28,F 2023,C0002,JO,10000,1896-S,ADDIS ABABA Executive Desk,BENCH,15,193721.0,2905815.0,1847862.87,1057952.13,36.41,Expired
QT00004,2023-05-28,F 2023,C0002,JO,20000,1968-S,OSLO Filing Cabinet,MISC,14,40351.56,564921.84,330712.39,234209.45,41.46,Open
QT00005,2023-12-03,F 2023,C0008,LT,10000,1964-S,Guest Section 1,MISC,1,129546.24,129546.24,90756.34,38789.9,29.94,Expired
QT00005,2023-12-03,F 2023,C0008,LT,20000,1896-S,ADDIS ABABA Executive Desk,BENCH,14,180673.87,2529434.18,1770895.84,758538.34,29.99,Expired
QT00006,2024-06-16,F 2024,C0001,LT,10000,1972-S,"MOMBASA Swivel Chair, yellow",CHAIR,15,24617.67,369265.05,258037.3,111227.75,30.12,Converted
QT00007,2024-03-13,F 2024,C0002,JO,10000,1928-S,DAKAR Meeting Table,TABLE,19,136405.12,2591697.28,1664323.63,927373.65,35.78,Converted
QT00008,2024-03-30,F 2024,C0024,LT,10000,1936-S,ACCRA Round Table,TABLE,9,103771.32,933941.88,609208.37,324733.51,34.77,Open
QT00008,2024-03-30,F 2024,C0024,LT,20000,1928-S,DAKAR Meeting Table,TABLE,3,133815.95,401447.85,282288.52,119159.33,29.68,Open
QT00008,2024-03-30,F 2024,C0024,LT,30000,2000-S,"KIGALI Ergonomic Chair, black",CHAIR,20,38156.64,763132.8,510571.25,252561.55,33.1,Expired
QT00008,2024-03-30,F 2024,C0024,LT,40000,2000-S,"KIGALI Ergonomic Chair, black",CHAIR,20,42271.93,845438.6,526159.45,319279.15,37.76,Expired
QT00008,2024-03-30,F 2024,C0024,LT,50000,1896-S,ADDIS ABABA Executive Desk,BENCH,20,176921.22,3538424.4,2340476.35,1197948.05,33.86,Converted
QT00009,2023-04-23,F 2023,C0001,JO,10000,1896-S,ADDIS ABABA Executive Desk,BENCH,4,195523.64,782094.56,495486.86,286607.7,36.65,Open
QT00009,2023-04-23,F 2023,C0001,JO,20000,1916-S,JOHANNESBURG Sit-Stand Desk,BENCH,10,157966.01,1579660.1,1009356.13,570303.97,36.1,Expired
QT00009,2023-04-23,F 2023,C0001,JO,30000,1984-S,MADRID Monitor Stand,MISC,5,12085.18,60425.9,42439.07,17986.83,29.77,Open
QT00009,2023-04-23,F 2023,C0001,JO,40000,1960-S,"NAIROBI Guest Chair, green",CHAIR,16,20443.51,327096.16,221496.83,105599.33,32.28,Open
QT00010,2021-01-09,F 2021,C0021,OF,10000,1988-S,"KAMPALA Guest Chair, red",CHAIR,17,24679.61,419553.37,267263.51,152289.86,36.3,Converted
QT00010,2021-01-09,F 2021,C0021,OF,20000,1916-S,JOHANNESBURG Sit-Stand Desk,BENCH,4,164470.54,657882.16,444088.34,213793.82,32.5,Converted
QT00010,2021-01-09,F 2021,C0021,OF,30000,1960-S,"NAIROBI Guest Chair, green",CHAIR,9,24879.76,223917.84,142254.64,81663.2,36.47,Converted
QT00010,2021-01-09,F 2021,C0021,OF,40000,PART-1,Chair Replacement Wheel Set,PARTS,5,889.44,4447.2,1684.35,2762.85,62.13,Converted
QT00011,2024-09-25,F 2024,C0024,LT,10000,1980-S,"KISUMU Swivel Chair, red",CHAIR,3,32470.93,97412.79,62554.78,34858.01,35.78,Expired
QT00011,2024-09-25,F 2024,C0024,LT,20000,1928-S,DAKAR Meeting Table,TABLE,1,151742.3,151742.3,97649.61,54092.69,35.65,Converted
QT00011,2024-09-25,F 2024,C0024,LT,30000,2000-S,"KIGALI Ergonomic Chair, black",CHAIR,18,45144.32,812597.76,520318.55,292279.21,35.97,Converted
QT00011,2024-09-25,F 2024,C0024,LT,40000,1988-S,"KAMPALA Guest Chair, red",CHAIR,20,24942.3,498846.0,311256.64,187589.36,37.6,Converted
QT00011,2024-09-25,F 2024,C0024,LT,50000,1964-S,Guest Section 1,MISC,19,152826.3,2903699.7,1956507.74,947191.96,32.62,Open
QT00012,2024-02-05,F 2024,C0034,JO,10000,1956-S,Conference Bundle 1-6,MISC,17,354264.94,6022503.98,4128001.61,1894502.37,31.46,Expired
QT00013,2023-01-24,F 2023,C0008,OF,10000,1976-S,LONDON Bookcase,MISC,9,52708.05,474372.45,318865.21,155507.24,32.78,Open
QT00014,2022-12-04,F 2022,C0006,OF,10000,1908-S,DUBAI Corner Desk,BENCH,8,130735.42,1045883.36,670007.9,375875.46,35.94,Converted
QT00014,2022-12-04,F 2022,C0006,OF,20000,1908-S,DUBAI Corner Desk,BENCH,15,122255.19,1833827.85,1423371.06,410456.79,22.38,Converted
QT00014,2022-12-04,F 2022,C0006,OF,30000,1960-S,"NAIROBI Guest Chair, green",CHAIR,1,23547.92,23547.92,16455.1,7092.82,30.12,Open
QT00015,2024-08-24,F 2024,C0007,LT,10000,1956-S,Conference Bundle 1-6,MISC,7,347022.99,2429160.93,1783467.82,645693.11,26.58,Open
QT00016,2025-03-28,F 2025,C0001,LT,10000,1980-S,"KISUMU Swivel Chair, red",CHAIR,16,31258.16,500130.56,338481.84,161648.72,32.32,Converted
QT00017,2023-02-20,F 2023,C0010,OF,10000,1968-S,OSLO Filing Cabinet,MISC,5,40256.97,201284.85,121355.44,79929.41,39.71,Converted
QT00017,2023-02-20,F 2023,C0010,OF,20000,1916-S,JOHANNESBURG Sit-Stand Desk,BENCH,16,140331.07,2245297.12,1735396.63,509900.49,22.71,Open
QT00017,2023-02-20,F 2023,C0010,OF,30000,1960-S,"NAIROBI Guest Chair, green",CHAIR,12,21935.0,263220.0,180986.1,82233.9,31.24,Open
QT00017,2023-02-20,F 2023,C0010,OF,40000,1968-S,OSLO Filing Cabinet,MISC,3,33340.19,100020.57,77438.74,22581.83,22.58,Converted
QT00018,2023-08-08,F 2023,C0001,JO,10000,1988-S,"KAMPALA Guest Chair, red",CHAIR,16,25871.33,413941.28,248768.7,165172.58,39.9,Expired
QT00018,2023-08-08,F 2023,C0001,JO,20000,1936-S,ACCRA Round Table,TABLE,18,89871.38,1617684.84,1292165.35,325519.49,20.12,Converted
QT00018,2023-08-08,F 2023,C0001,JO,30000,2008-S,"ACCRA Stacking Chair, blue",CHAIR,15,13689.06,205335.9,118716.4,86619.5,42.18,Expired
QT00018,2023-08-08,F 2023,C0001,JO,40000,1928-S,DAKAR Meeting Table,TABLE,13,150915.32,1961899.16,1334751.08,627148.08,31.97,Converted
QT00018,2023-08-08,F 2023,C0001,JO,50000,1964-S,Guest Section 1,MISC,14,142313.94,1992395.16,1303617.18,688777.98,34.57,Open
QT00019,2024-01-15,F 2024,C0005,LT,10000,2000-S,"KIGALI Ergonomic Chair, black",CHAIR,20,39169.36,783387.2,563296.23,220090.97,28.09,Open
QT00019,2024-01-15,F 2024,C0005,LT,20000,1908-S,DUBAI Corner Desk,BENCH,5,133633.01,668165.05,484439.42,183725.63,27.5,Open
QT00020,2020-11-23,F 2020,C0001,LT,10000,EM-001,Executive Meeting Room Set,EM_COMMER,12,732804.68,8793656.16,5925034.13,2868622.03,32.62,Open
QT00020,2020-11-23,F 2020,C0001,LT,20000,1920-S,LUANDA Conference Table,TABLE,9,260642.47,2345782.23,1484526.91,861255.32,36.72,Open
QT00021,2021-06-28,F 2021,C0010,LT,10000,1908-S,DUBAI Corner Desk,BENCH,18,141929.42,2554729.56,1572403.69,982325.87,38.45,Open
QT00021,2021-06-28,F 2021,C0010,LT,20000,1960-S,"NAIROBI Guest Chair, green",CHAIR,14,24583.01,344162.14,214695.06,129467.08,37.62,Open
QT00022,2022-06-30,F 2022,C0035,LT,10000,1920-S,LUANDA Conference Table,TABLE,3,223671.51,671014.53,501805.91,169208.62,25.22,Converted
